Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2014","2014","million Kcal","4630748","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2015","2015","million Kcal","4497194","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2016","2016","million Kcal","4650476","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2017","2017","million Kcal","5222914","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2018","2018","million Kcal","5359867","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2019","2019","million Kcal","5499936","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2020","2020","million Kcal","5702315.29","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2010","2010","g","136472","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2011","2011","g","121130","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2012","2012","g","124837","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2013","2013","g","108618","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2014","2014","g","138777","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2015","2015","g","134088","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2016","2016","g","139031","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2017","2017","g","155685","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2018","2018","g","159773","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2019","2019","g","164142.48","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2511","Wheat and products","2020","2020","g","170416.3","I","Imputed value"
